GO:0003735	6.5e-09
GO:0019843	0.00037
GO:0005198	0.00048
GO:0003824	0.00067
GO:0015399	0.00107
GO:0005227	0.00190
GO:0140098	0.00377
GO:0043492	0.00382
GO:0016765	0.00572
GO:0003723	0.00574
GO:0022835	0.00878
GO:0016829	0.00958
GO:0022836	0.01148
GO:0060590	0.01259
GO:0016741	0.01937
GO:0032182	0.02030
GO:0005230	0.02131
GO:0004653	0.02180
GO:0005544	0.02309
GO:0016763	0.02480
GO:0030165	0.02617
GO:0019902	0.03115
GO:0099094	0.03154
GO:1901363	0.03427
GO:0022804	0.03593
GO:0097159	0.03988
GO:0016620	0.04234
GO:0003713	0.04330
GO:0001671	0.04470
GO:0015386	0.04545
GO:0008649	0.04579
GO:0090079	0.04852
GO:0050839	0.04855
GO:0099529	0.05128
GO:0003690	0.05150
GO:1990837	0.05308
GO:0005451	0.05495
GO:0031369	0.05539
GO:0008092	0.06189
GO:0046943	0.06196
GO:0008171	0.06226
GO:0016491	0.06327
GO:0033558	0.06439
GO:0004016	0.06730
GO:0016810	0.06967
GO:0042826	0.07057
GO:0016783	0.07263
GO:0003684	0.07275
GO:0048037	0.07665
GO:0008079	0.07994
GO:0003746	0.08022
GO:0031490	0.08082
GO:0008376	0.08277
GO:0005342	0.08334
GO:0004879	0.08932
GO:0140102	0.08944
GO:0004869	0.09091
GO:0030234	0.09156
GO:0003688	0.09451
